pool,model,effort,seconds,chars,exit
anthropic,fable,low,7.955453743,540,0
anthropic,opus,low,8.306278291,547,0
anthropic,sonnet,low,6.285237436,466,0
anthropic,fable,medium,7.433888152,560,0
anthropic,opus,medium,8.720606508,636,0
anthropic,sonnet,medium,6.855628741,531,0
anthropic,fable,high,12.802918088,560,0
anthropic,opus,high,11.152223551,646,0
anthropic,sonnet,high,6.189507698,514,0
anthropic,fable,xhigh,12.362081890,570,0
anthropic,opus,xhigh,7.557189886,576,0
anthropic,sonnet,xhigh,7.213373130,589,0
anthropic,fable,max,12.528990092,575,0
anthropic,opus,max,8.617562677,576,0
anthropic,sonnet,max,25.625188769,567,0
anthropic,haiku,none,8.846923068,496,0
glm,glm-5.3,low,11.189434198,920,0
glm,glm-5.3-flash,low,12.692333118,811,0
glm,glm-5.3,high,12.854350000,816,0
glm,glm-5.3-flash,high,17.552793044,851,0
glm,glm-5.3,max,17.508195659,895,0
glm,glm-5.3-flash,max,14.808373271,848,0
glm,glm-4.7,none,19.246362465,871,0
codex,gpt-6-astra,low,13.393310093,1561,0
codex,gpt-6-astra,medium,9.885932531,1608,0
codex,gpt-6-astra,high,12.000370503,1606,0
codex,gpt-6-astra,xhigh,21.882121341,1569,0
codex,gpt-6-astra,max,30.579059951,1567,0
codex,gpt-6-astra,ultra,22.911150633,1563,0
codex,gpt-5.6-sol,low,17.729167476,1807,0
codex,gpt-5.6-sol,medium,18.265256607,1779,0
codex,gpt-5.6-sol,high,25.637864464,2062,0
codex,gpt-5.6-sol,xhigh,22.896028364,2197,0
codex,gpt-5.6-sol,max,27.964015703,2306,0
codex,gpt-5.6-sol,ultra,30.790685301,2296,0
codex,gpt-5.6-terra,low,15.265938586,1869,0
codex,gpt-5.6-terra,medium,13.654075630,1894,0
codex,gpt-5.6-terra,high,13.336333196,1856,0
codex,gpt-5.6-terra,xhigh,13.494454073,1713,0
codex,gpt-5.6-terra,max,28.817843617,2137,0
codex,gpt-5.6-terra,ultra,23.092026088,2014,0
codex,gpt-5.6-luna,low,7.885990040,1654,0
codex,gpt-5.6-luna,medium,19.488277279,1808,0
codex,gpt-5.6-luna,high,13.858749266,1955,0
codex,gpt-5.6-luna,xhigh,18.772334681,2017,0
codex,gpt-5.6-luna,max,29.561386834,2207,0
codex,gpt-5.6-luna,ultra,27.108248745,2204,0
codex,gpt-5.5,low,13.383931279,1745,0
codex,gpt-5.5,medium,9.559409879,1681,0
codex,gpt-5.5,high,15.450831571,1953,0
codex,gpt-5.5,xhigh,20.727037030,2177,0
codex,gpt-5.5,max,7.075833330,1861,1
codex,gpt-5.5,ultra,17.060826097,1820,0
SWEEP DONE 2026-09-22T14:03:26+03:00
